PID   USER     TIME   COMMAND
    1 0          0:38 /init panic_debug
    2 0          0:00 [kthreadd]
    3 0          0:01 [ksoftirqd/0]
    7 0          0:01 [migration/0]
    8 0          0:20 [rcu_preempt]
    9 0          0:00 [rcu_bh]
   10 0          0:00 [rcu_sched]
   11 0          0:00 [watchdog/0]
   12 0          0:00 [watchdog/1]
   13 0          0:00 [migration/1]
   14 0          0:00 [ksoftirqd/1]
   15 0          0:00 [kworker/1:0]
   16 0          0:00 [kworker/1:0H]
   17 0          0:00 [watchdog/2]
   18 0          0:00 [migration/2]
   19 0          0:00 [ksoftirqd/2]
   21 0          0:00 [kworker/2:0H]
   22 0          0:00 [watchdog/3]
   23 0          0:02 [migration/3]
   24 0          0:00 [ksoftirqd/3]
   25 0          0:00 [kworker/3:0]
   26 0          0:00 [kworker/3:0H]
   27 0          0:00 [khelper]
   28 0          0:00 [writeback]
   29 0          0:00 [bioset]
   30 0          0:00 [kblockd]
   31 0          0:00 [khubd]
   35 0          0:00 [irq/109-88pm800]
   40 0          0:00 [irq/299-88pm830]
   55 0          0:00 [devfreq_wq]
   57 0          0:00 [cfg80211]
   58 0          0:00 [rpciod]
   59 0          0:00 [carveout_heap]
   60 0          0:00 [system_heap]
   61 0          0:00 [khungtaskd]
   62 0          5:20 [kswapd0]
   63 0          0:00 [ksmd]
   64 0          0:00 [fsnotify_mark]
   65 0          0:00 [nfsiod]
   66 0          0:00 [crypto]
   83 0          0:00 [kworker/u9:0]
   84 0          0:00 [mmp_fb]
   85 0          0:00 [mmp_fb_overlay]
   86 0          0:00 [mv_otg_queue]
   87 0          0:00 [uether]
   88 0          0:00 [synaptics_wq]
   99 0          0:00 [kworker/2:1]
  112 0          0:00 [bat-88pm830]
  113 0          0:00 [proximity_als]
  114 0          0:00 [irq/164-d403b00]
  115 0          0:00 [wdt_workqueue]
  116 0          0:13 [cfinteractive]
  117 0          0:00 [dynamic hotplug]
  118 0          0:00 [sdhci-card]
  119 0          0:00 [sdhci-card]
  120 0          0:00 [sdhci-card]
  121 0         15:23 [irq/380-inv_irq]
  122 0          0:00 [binder]
  124 0          0:00 [kworker/1:1]
  126 0          0:00 [kworker/3:1]
  128 0          0:00 [deferwq]
